"recording time (s): [0.01 ,35]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B7_21","16","0.457065547770206","1.98314133333333","2.03709007640754"
"B7_22","120","3.42799160827654","0.289163697478992","0.507338302348916"
"B7_23","114","3.25659202786272","0.305573805309735","0.715233034986698"
"B7_24","316","9.02704456846156","0.11006653968254","0.237438304373679"
"B7_31",NA,NA,NA,NA
"B7_32","92","2.62812689967868","0.379962197802198","0.56271252089184"
"B7_33",NA,NA,NA,NA
"B7_34","141","4.02789013972494","0.245168","0.632275232067981"
"B7_41","75","2.14249475517284","0.464694054054054","0.609644765207562"
"B7_42",NA,NA,NA,NA
"B7_43","30","0.856997902069136","1.02631448275862","2.26993132280565"
"B7_44",NA,NA,NA,NA
"B8_11",NA,NA,NA,NA
"B8_12",NA,NA,NA,NA
"B8_13",NA,NA,NA,NA
"B8_14",NA,NA,NA,NA
"B8_21",NA,NA,NA,NA
"B8_22",NA,NA,NA,NA
"B8_23",NA,NA,NA,NA
"B8_24",NA,NA,NA,NA
"B8_31",NA,NA,NA,NA
"B8_32",NA,NA,NA,NA
"B8_33",NA,NA,NA,NA
"B8_34",NA,NA,NA,NA
"B8_41",NA,NA,NA,NA
"B8_42",NA,NA,NA,NA
"B8_43",NA,NA,NA,NA
"B8_44",NA,NA,NA,NA
"C1_11",NA,NA,NA,NA
"C1_12",NA,NA,NA,NA
"C1_13",NA,NA,NA,NA
"C1_14",NA,NA,NA,NA
"C1_21",NA,NA,NA,NA
"C1_22",NA,NA,NA,NA
"C1_23",NA,NA,NA,NA
"C1_24",NA,NA,NA,NA
"C1_31",NA,NA,NA,NA
"C1_32",NA,NA,NA,NA
"C1_33",NA,NA,NA,NA
"C1_34",NA,NA,NA,NA
"C1_41",NA,NA,NA,NA
"C1_42",NA,NA,NA,NA
"C1_43",NA,NA,NA,NA
"C1_44",NA,NA,NA,NA
"C2_11","629","17.9683893467162","0.0549450955414013","0.0899697414001756"
"C2_12","985","28.1380977846033","0.0350417886178862","0.0707980252729939"
"C2_13","217","6.19895149163341","0.159436296296296","0.176423610087911"
"C2_14","1313","37.5079415138925","0.0262876219512195","0.0467112694731138"
"C2_21",NA,NA,NA,NA
"C2_22","470","13.4263004657498","0.0734052025586354","0.119201645561206"
"C2_23","52","1.48546303025317","0.654581960784314","1.26863500365553"
"C2_24","188","5.37052018629992","0.184094973262032","0.172037323127249"
"C2_31","730","20.8536156170156","0.047278024691358","0.0858815933946552"
"C2_32","6","0.171399580413827","6.617792","11.3561456145085"
"C2_33","411","11.7408712583472","0.0839687804878049","0.136465999938961"
"C2_34","110","3.14232564092016","0.315547889908257","0.167297179405909"
"C2_41","28","0.79986470859786","1.26202074074074","1.36406362109106"
"C2_42",NA,NA,NA,NA
"C2_43","609","17.3970574120035","0.0566514473684211","0.0936933852314156"
"C2_44","217","6.19895149163341","0.159378148148148","0.168767144328885"
"C3_11","922","26.3384021902581","0.0374161129207383","0.0719585251988063"
"C3_12","727","20.7679158268087","0.0475012672176309","0.0712383480266377"
"C3_13","151","4.31355610708132","0.229498133333333","0.184142578875396"
"C3_14","1631","46.5921192758253","0.0211555337423313","0.0509700266589037"
"C3_21","1060","30.2805925397761","0.0325819074598678","0.0698175384267629"
"C3_22",NA,NA,NA,NA
"C3_23","60","1.71399580413827","0.560202033898305","0.440236732893673"
"C3_24","1432","40.9073665254334","0.0240987281621244","0.0588504517898021"
"C3_31","1","0.0285665967356379","NaN",NA
"C3_32","635","18.13978892713","0.0543341324921136","0.0975251047792333"
"C3_33","538","15.3688290437732","0.0641437616387337","0.0891294242501709"
"C3_34","124","3.54225799521909","0.279877723577236","0.163328025105734"
"C3_41","967","27.6238990433618","0.03568016563147","0.0761212173643428"
"C3_42","250","7.14164918390946","0.138264417670683","0.164812947252388"
"C3_43",NA,NA,NA,NA
"C3_44",NA,NA,NA,NA
"C4_11",NA,NA,NA,NA
"C4_12",NA,NA,NA,NA
"C4_13",NA,NA,NA,NA
"C4_14",NA,NA,NA,NA
"C4_21",NA,NA,NA,NA
"C4_22",NA,NA,NA,NA
"C4_23",NA,NA,NA,NA
"C4_24",NA,NA,NA,NA
"C4_31",NA,NA,NA,NA
"C4_32",NA,NA,NA,NA
"C4_33",NA,NA,NA,NA
"C4_34",NA,NA,NA,NA
"C4_41",NA,NA,NA,NA
"C4_42",NA,NA,NA,NA
"C4_43",NA,NA,NA,NA
"C4_44",NA,NA,NA,NA
"C5_11",NA,NA,NA,NA
"C5_12",NA,NA,NA,NA
"C5_13",NA,NA,NA,NA
"C5_14",NA,NA,NA,NA
"C5_21",NA,NA,NA,NA
"C5_22",NA,NA,NA,NA
"C5_23",NA,NA,NA,NA
"C5_24",NA,NA,NA,NA
"C5_31",NA,NA,NA,NA
"C5_32",NA,NA,NA,NA
"C5_33",NA,NA,NA,NA
"C5_34",NA,NA,NA,NA
"C5_41",NA,NA,NA,NA
"C5_42",NA,NA,NA,NA
"C5_43",NA,NA,NA,NA
"C5_44",NA,NA,NA,NA
"C6_11","8","0.228532773885103","4.57908571428571","10.570134410938"
"C6_12","174","4.97058783200099","0.201588439306358","1.47156201948987"
"C6_13","47","1.34263004657498","0.749648695652174","3.58840433435786"
"C6_14",NA,NA,NA,NA
"C6_21","135","3.85649055931111","0.258816119402985","1.78895327455504"
"C6_22","14","0.39993235429893","2.55220923076923","7.24132035257206"
"C6_23",NA,NA,NA,NA
"C6_24",NA,NA,NA,NA
"C6_31","96","2.74239328662123","0.363448421052632","2.32156426189111"
"C6_32",NA,NA,NA,NA
"C6_33",NA,NA,NA,NA
"C6_34",NA,NA,NA,NA
"C6_41","124","3.54225799521909","0.280649105691057","1.94164035098812"
"C6_42","122","3.48512480174782","0.285643636363636","2.01622970765403"
"C6_43","4","0.114266386942551","0.795546666666667","1.29989333798328"
"C6_44","55","1.57116282046008","0.636693333333333","2.95300230375927"
"C7_11","330","9.42697692276049","0.105022492401216","0.208868263312976"
"C7_12","382","10.9124399530137","0.0917623097112861","0.180437335974566"
"C7_13","81","2.31389433558667","0.389938","0.644623839990856"
"C7_14",NA,NA,NA,NA
"C7_21","28","0.79986470859786","1.15042962962963","1.00786575739752"
"C7_22",NA,NA,NA,NA
"C7_23","161","4.59922207443769","0.214144","0.2462654775807"
"C7_24","3","0.0856997902069136","3.95944","4.54822395367686"
"C7_31",NA,NA,NA,NA
"C7_32","4","0.114266386942551","7.73789333333333","8.08354907177122"
"C7_33",NA,NA,NA,NA
"C7_34","306","8.74137860110518","0.114558163934426","0.185913056467368"
"C7_41","16","0.457065547770206","2.19746666666667","2.99032015160027"
"C7_42","2","0.0571331934712757","2.88792",NA
"C7_43","33","0.942697692276049","1.00571","1.66688972269101"
"C7_44","49","1.39976324004625","0.697326666666667","1.27677731221066"
"C8_11",NA,NA,NA,NA
"C8_12",NA,NA,NA,NA
"C8_13",NA,NA,NA,NA
"C8_14",NA,NA,NA,NA
"C8_21",NA,NA,NA,NA
"C8_22",NA,NA,NA,NA
"C8_23",NA,NA,NA,NA
"C8_24",NA,NA,NA,NA
"C8_31",NA,NA,NA,NA
"C8_32",NA,NA,NA,NA
"C8_33",NA,NA,NA,NA
"C8_34",NA,NA,NA,NA
"C8_41",NA,NA,NA,NA
"C8_42",NA,NA,NA,NA
"C8_43",NA,NA,NA,NA
"C8_44",NA,NA,NA,NA
"D1_11",NA,NA,NA,NA
"D1_12",NA,NA,NA,NA
"D1_13",NA,NA,NA,NA
"D1_14",NA,NA,NA,NA
"D1_21",NA,NA,NA,NA
"D1_22",NA,NA,NA,NA
"D1_23",NA,NA,NA,NA
"D1_24",NA,NA,NA,NA
"D1_31",NA,NA,NA,NA
"D1_32",NA,NA,NA,NA
"D1_33",NA,NA,NA,NA
"D1_34",NA,NA,NA,NA
"D1_41",NA,NA,NA,NA
"D1_42",NA,NA,NA,NA
"D1_43",NA,NA,NA,NA
