"recording time (s): [0.01048 ,50]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7_33",NA,NA,NA,NA
"C7_34","461","9.16579714202095","0.108892869565217","0.20590695213864"
"C7_41","21","0.417530889332841","2.07944","2.75620019133895"
"C7_42","3","0.0596472699046916","18.71472","24.3648632121586"
"C7_43","2","0.0397648466031277","45.49688",NA
"C7_44","56","1.11341570488758","0.880247272727273","1.69235822165562"
"C8_11",NA,NA,NA,NA
"C8_12",NA,NA,NA,NA
"C8_13",NA,NA,NA,NA
"C8_14",NA,NA,NA,NA
"C8_21",NA,NA,NA,NA
"C8_22",NA,NA,NA,NA
"C8_23",NA,NA,NA,NA
"C8_24",NA,NA,NA,NA
"C8_31",NA,NA,NA,NA
"C8_32",NA,NA,NA,NA
"C8_33",NA,NA,NA,NA
"C8_34",NA,NA,NA,NA
"C8_41",NA,NA,NA,NA
"C8_42",NA,NA,NA,NA
"C8_43",NA,NA,NA,NA
"C8_44",NA,NA,NA,NA
"D1_11",NA,NA,NA,NA
"D1_12",NA,NA,NA,NA
"D1_13",NA,NA,NA,NA
"D1_14",NA,NA,NA,NA
"D1_21",NA,NA,NA,NA
"D1_22",NA,NA,NA,NA
"D1_23",NA,NA,NA,NA
"D1_24",NA,NA,NA,NA
"D1_31",NA,NA,NA,NA
"D1_32",NA,NA,NA,NA
"D1_33",NA,NA,NA,NA
"D1_34",NA,NA,NA,NA
"D1_41",NA,NA,NA,NA
"D1_42",NA,NA,NA,NA
"D1_43",NA,NA,NA,NA
"D1_44",NA,NA,NA,NA
"D2_11","1160","23.0636110298141","0.0373293528904228","0.519726447711975"
"D2_12","1696","33.7205899194523","0.0256479056047198","0.334269263469426"
"D2_13","1137","22.6063152938781","0.0382252112676056","0.518528887568088"
"D2_14","476","9.4640334915444","0.0911619368421053","0.835597422867863"
"D2_21","535","10.6370964663367","0.079861872659176","0.768665821622648"
"D2_22",NA,NA,NA,NA
"D2_23","4","0.0795296932062555","5.72546666666667","9.87620083759607"
"D2_24",NA,NA,NA,NA
"D2_31","189","3.75777800399557","0.22664170212766","1.33891736075207"
"D2_32","3","0.0596472699046916","0.0913199999999996","0.0372786695041553"
"D2_33","384","7.63485054780053","0.108757806788512","0.934539464395407"
"D2_34","515","10.2394480003054","0.0842922957198444","0.807157500619802"
"D2_41","511","10.1599183070991","0.0847669019607843","0.785082286622228"
"D2_42","847","16.8404125364246","0.0511356028368794","0.616209673811205"
"D2_43","26","0.516943005840661","1.5041312","4.13460261686691"
"D2_44","516","10.259330423607","0.0842384466019418","0.784189463518417"
"D3_11",NA,NA,NA,NA
"D3_12","3","0.0596472699046916","0.127399999999998","0.12710951498609"
"D3_13","1521","30.2411658416787","0.0319327368421053","0.424751156116605"
"D3_14","853","16.959707076234","0.0565752112676056","0.560441009851579"
"D3_21","1668","33.1638820670085","0.029877624475105","0.291073288958114"
"D3_22","385","7.65473297110209","0.121842708333333","0.977344296015218"
"D3_23","227","4.513310089455","0.202166725663717","1.26695522551102"
"D3_24","128","2.54495018260018","0.241135118110236","1.28051333209553"
"D3_31","1177","23.4016122259407","0.0412079591836735","0.459836297824033"
"D3_32","870","17.2977082723606","0.0364667433831991","0.303344193016716"
"D3_33","790","15.7071144082355","0.0610852217997465","0.629881246220437"
"D3_34","9","0.178941809714075","2.88037","4.35740228709065"
"D3_41","1288","25.6085612124143","0.0371497125097125","0.34604176671808"
"D3_42","30","0.596472699046916","1.01187034482759","2.26708204183654"
"D3_43","529","10.5178019265273","0.0908286363636364","0.769379356058055"
"D3_44","159","3.16130530494866","0.297736708860759","1.93446895262152"
"D4_11",NA,NA,NA,NA
"D4_12",NA,NA,NA,NA
"D4_13",NA,NA,NA,NA
"D4_14",NA,NA,NA,NA
"D4_21",NA,NA,NA,NA
"D4_22",NA,NA,NA,NA
"D4_23",NA,NA,NA,NA
"D4_24",NA,NA,NA,NA
"D4_31",NA,NA,NA,NA
"D4_32",NA,NA,NA,NA
"D4_33",NA,NA,NA,NA
"D4_34",NA,NA,NA,NA
"D4_41",NA,NA,NA,NA
"D4_42",NA,NA,NA,NA
"D4_43",NA,NA,NA,NA
"D4_44",NA,NA,NA,NA
"D5_11","3","0.0596472699046916","6.07304","8.32270338310816"
"D5_12","37","0.735649662157863","0.641675555555556","1.79269558458675"
"D5_13","151","3.00224591853614","0.165677333333333","0.869306089309722"
"D5_14","35","0.695884815554736","0.702569411764706","1.96853028901496"
"D5_21","45","0.894709048570374","0.729658181818182","2.03585184203392"
"D5_22","11","0.218706656317203","2.27484","3.24373371966456"
"D5_23",NA,NA,NA,NA
"D5_24","104","2.06777202336264","0.241321165048544","1.0393402654883"
"D5_31","33","0.656119968951608","0.7446225","1.95286814219331"
